activo_id,tipo,marca,ubicacion,edad_meses,horas_operacion,ciclos_arranque,vibracion_mm_s,temp_prom_c,dias_desde_mant,carga_prom_pct,fallas_previas,criticidad,fallo_30d
EQ-001,Bomba de fractura,SPM,Rincon La Ceniza,79,28985,1451,4.31,64.9,128,73.0,2,Media,1
EQ-002,Bomba de fractura,FMC,Rincon La Ceniza,15,4541,412,2.39,53.9,71,82.0,2,Media,0
EQ-003,Bomba de fractura,Gardner Denver,Bajada del Palo,60,22608,2289,4.12,57.9,2,74.0,5,Alta,0
EQ-004,Bomba de fractura,FMC,Aguada Pichana,42,15500,894,3.61,54.0,20,74.0,5,Alta,0
EQ-005,Bomba de fractura,SPM,Bajada del Palo,74,22933,3779,5.06,62.1,13,74.0,7,Alta,1
EQ-006,Bomba de fractura,Gardner Denver,Aguada Pichana,72,24414,1261,3.27,71.3,9,63.0,4,Alta,0
EQ-007,Bomba de fractura,SPM,El Trapial,14,4366,369,2.13,63.6,71,81.0,4,Alta,1
EQ-008,Bomba de fractura,Gardner Denver,Bajada del Palo,53,17962,988,3.9,56.9,33,69.0,6,Alta,0
EQ-009,Bomba de fractura,Gardner Denver,Bajada del Palo,80,27404,2402,3.25,64.4,24,90.0,4,Alta,0
EQ-010,Bomba de fractura,Gardner Denver,Aguada Pichana,80,22857,2415,4.0,63.8,1,70.0,5,Alta,0
EQ-011,Bomba de fractura,Gardner Denver,Fortin de Piedra,50,15532,1159,4.46,67.1,204,81.0,9,Alta,1
EQ-012,Bomba de fractura,FMC,Loma Campana,40,10909,859,3.29,51.5,60,68.0,2,Alta,0
EQ-013,Bomba de fractura,FMC,Bajada del Palo,46,16756,1373,3.16,64.8,12,70.0,4,Alta,0
EQ-014,Bomba de fractura,FMC,Loma Campana,83,30777,5051,5.25,61.9,10,60.0,6,Alta,1
EQ-015,Bomba de fractura,Gardner Denver,Fortin de Piedra,73,25962,1704,3.09,59.9,7,42.0,1,Alta,0
