evento_id,activo_id,tipo,ubicacion,fecha,mes,modo_falla,downtime_h,costo_usd,criticidad
FL-0001,EQ-001,Bomba de fractura,Rincon La Ceniza,2026-03-10,2026-03,Vibracion excesiva,112.4,68289.0,Media
FL-0002,EQ-001,Bomba de fractura,Rincon La Ceniza,2026-06-12,2026-06,Sello mecanico,172.7,130284.0,Media
FL-0003,EQ-002,Bomba de fractura,Rincon La Ceniza,2025-10-04,2025-10,Valvula,12.7,28813.0,Media
FL-0004,EQ-002,Bomba de fractura,Rincon La Ceniza,2025-02-20,2025-02,Lubricacion,10.9,55214.0,Media
FL-0005,EQ-003,Bomba de fractura,Bajada del Palo,2026-03-05,2026-03,Sello mecanico,74.1,75753.0,Alta
FL-0006,EQ-003,Bomba de fractura,Bajada del Palo,2026-08-11,2026-08,Vibracion excesiva,39.4,74292.0,Alta
FL-0007,EQ-003,Bomba de fractura,Bajada del Palo,2025-12-31,2025-12,Falla electrica,93.2,78245.0,Alta
FL-0008,EQ-003,Bomba de fractura,Bajada del Palo,2025-06-14,2025-06,Sobrecalentamiento,53.6,50546.0,Alta
FL-0009,EQ-003,Bomba de fractura,Bajada del Palo,2025-07-21,2025-07,Rodamiento,38.5,55176.0,Alta
FL-0010,EQ-004,Bomba de fractura,Aguada Pichana,2025-07-19,2025-07,Lubricacion,21.2,65829.0,Alta
FL-0011,EQ-004,Bomba de fractura,Aguada Pichana,2025-03-04,2025-03,Vibracion excesiva,408.9,223219.0,Alta
FL-0012,EQ-004,Bomba de fractura,Aguada Pichana,2026-04-04,2026-04,Rodamiento,92.7,69061.0,Alta
FL-0013,EQ-004,Bomba de fractura,Aguada Pichana,2026-01-26,2026-01,Fuga hidraulica,21.1,46990.0,Alta
FL-0014,EQ-004,Bomba de fractura,Aguada Pichana,2024-10-15,2024-10,Falla electrica,112.6,97500.0,Alta
FL-0015,EQ-005,Bomba de fractura,Bajada del Palo,2024-12-08,2024-12,Vibracion excesiva,163.6,89560.0,Alta
FL-0016,EQ-005,Bomba de fractura,Bajada del Palo,2025-10-01,2025-10,Fuga hidraulica,38.5,57120.0,Alta
FL-0017,EQ-005,Bomba de fractura,Bajada del Palo,2025-06-11,2025-06,Sobrecalentamiento,91.7,92508.0,Alta
FL-0018,EQ-005,Bomba de fractura,Bajada del Palo,2025-04-24,2025-04,Falla electrica,44.7,57738.0,Alta
FL-0019,EQ-005,Bomba de fractura,Bajada del Palo,2025-11-24,2025-11,Sobrecalentamiento,116.7,94914.0,Alta
