mes,arena_consumo_t,gasoil_consumo_m3,sets_activos,etapas_estimadas
2024-10,143090.0,2087.0,3,447.0
2024-11,117078.0,1707.0,3,366.0
2024-12,123356.0,1799.0,3,385.0
2025-01,123494.0,1801.0,3,386.0
2025-02,135407.0,1975.0,3,423.0
2025-03,151121.0,2204.0,3,472.0
2025-04,157676.0,2299.0,3,493.0
2025-05,139868.0,2040.0,3,437.0
2025-06,133796.0,1951.0,3,418.0
2025-07,126456.0,1844.0,3,395.0
2025-08,131786.0,1922.0,3,412.0
2025-09,155498.0,2268.0,3,486.0
2025-10,144889.0,2113.0,3,453.0
2025-11,134931.0,1968.0,3,422.0
2025-12,146446.0,2136.0,3,458.0
2026-01,145308.0,2119.0,3,454.0
2026-02,139016.0,2027.0,3,434.0
2026-03,166102.0,2422.0,3,519.0
2026-04,173339.0,2528.0,3,542.0
2026-05,153410.0,2237.0,3,479.0
2026-06,157910.0,2303.0,3,493.0
2026-07,156610.0,2284.0,3,489.0
2026-08,149140.0,2175.0,3,466.0
2026-09,162671.0,2372.0,3,508.0
