fecha,stock_arena_t,consumo_t,recepcion_t,stock_seguridad_t,quiebre
2024-10-01,60502.0,5798.0,0.0,12000,0
2024-10-02,56309.0,4193.0,0.0,12000,0
2024-10-03,52746.0,3563.0,0.0,12000,0
2024-10-04,49172.0,3573.0,0.0,12000,0
2024-10-05,43658.0,5514.0,0.0,12000,0
2024-10-06,38774.0,4884.0,0.0,12000,0
2024-10-07,33365.0,5410.0,0.0,12000,0
2024-10-08,28155.0,5210.0,0.0,12000,0
2024-10-09,23446.0,4709.0,0.0,12000,0
2024-10-10,17607.0,5839.0,0.0,12000,0
2024-10-11,13305.0,4302.0,0.0,12000,0
2024-10-12,8555.0,4750.0,0.0,12000,0
2024-10-13,11788.0,5467.0,8701.0,12000,0
2024-10-14,23851.0,4922.0,16985.0,12000,0
2024-10-15,27229.0,5551.0,8929.0,12000,0
2024-10-16,22414.0,4816.0,0.0,12000,0
2024-10-17,17269.0,5145.0,0.0,12000,0
2024-10-18,13827.0,3442.0,0.0,12000,0
2024-10-19,18916.0,3912.0,9002.0,12000,0
2024-10-20,14845.0,4071.0,0.0,12000,0
2024-10-21,11315.0,3530.0,0.0,12000,0
2024-10-22,7390.0,3925.0,0.0,12000,0
2024-10-23,30769.0,3584.0,26964.0,12000,0
2024-10-24,26727.0,4042.0,0.0,12000,0
2024-10-25,30722.0,4967.0,8961.0,12000,0
2024-10-26,37048.0,4266.0,10593.0,12000,0
2024-10-27,32768.0,4280.0,0.0,12000,0
2024-10-28,28903.0,3865.0,0.0,12000,0
2024-10-29,24889.0,4013.0,0.0,12000,0
2024-10-30,19145.0,5745.0,0.0,12000,0
2024-10-31,14146.0,4998.0,0.0,12000,0
2024-11-01,10236.0,4141.0,231.0,12000,0
2024-11-02,23718.0,3184.0,16665.0,12000,0
2024-11-03,19314.0,4403.0,0.0,12000,0
2024-11-04,16147.0,3167.0,0.0,12000,0
2024-11-05,12508.0,3639.0,0.0,12000,0
2024-11-06,16619.0,4972.0,9084.0,12000,0
2024-11-07,12411.0,4209.0,0.0,12000,0
2024-11-08,17428.0,4027.0,9044.0,12000,0
2024-11-09,13122.0,4306.0,0.0,12000,0
2024-11-10,17454.0,4652.0,8984.0,12000,0
2024-11-11,24568.0,4506.0,11620.0,12000,0
2024-11-12,21258.0,3310.0,0.0,12000,0
2024-11-13,27465.0,2880.0,9088.0,12000,0
2024-11-14,23966.0,3499.0,0.0,12000,0
2024-11-15,29527.0,3395.0,8956.0,12000,0
2024-11-16,44212.0,3271.0,17956.0,12000,0
2024-11-17,39342.0,4871.0,0.0,12000,0
2024-11-18,34617.0,4725.0,0.0,12000,0
2024-11-19,31119.0,3498.0,0.0,12000,0
2024-11-20,26877.0,4242.0,0.0,12000,0
2024-11-21,23202.0,3675.0,0.0,12000,0
2024-11-22,27477.0,4809.0,9083.0,12000,0
2024-11-23,32696.0,3813.0,9032.0,12000,0
2024-11-24,47246.0,3389.0,17939.0,12000,0
2024-11-25,43898.0,3349.0,0.0,12000,0
2024-11-26,39861.0,4037.0,0.0,12000,0
2024-11-27,38373.0,3384.0,1896.0,12000,0
2024-11-28,34286.0,4087.0,0.0,12000,0
2024-11-29,37535.0,4772.0,8021.0,12000,0
2024-11-30,33852.0,3683.0,0.0,12000,0
2024-12-01,30498.0,3354.0,0.0,12000,0
2024-12-02,42631.0,5088.0,17221.0,12000,0
2024-12-03,38631.0,4000.0,0.0,12000,0
2024-12-04,35563.0,3068.0,0.0,12000,0
2024-12-05,41663.0,2970.0,9070.0,12000,0
2024-12-06,38554.0,3109.0,0.0,12000,0
2024-12-07,43354.0,4263.0,9064.0,12000,0
2024-12-08,38724.0,4630.0,0.0,12000,0
2024-12-09,43846.0,3806.0,8928.0,12000,0
2024-12-10,40840.0,3007.0,0.0,12000,0
2024-12-11,37124.0,3715.0,0.0,12000,0
2024-12-12,32040.0,5085.0,0.0,12000,0
2024-12-13,36906.0,4044.0,8910.0,12000,0
2024-12-14,31877.0,5029.0,0.0,12000,0
2024-12-15,27094.0,4783.0,0.0,12000,0
2024-12-16,24203.0,2891.0,0.0,12000,0
2024-12-17,37636.0,4471.0,17904.0,12000,0
2024-12-18,33252.0,4384.0,0.0,12000,0
2024-12-19,29190.0,4062.0,0.0,12000,0
2024-12-20,26693.0,3460.0,962.0,12000,0
2024-12-21,31473.0,4293.0,9074.0,12000,0
2024-12-22,28359.0,3114.0,0.0,12000,0
2024-12-23,33521.0,3834.0,8996.0,12000,0
2024-12-24,29645.0,3876.0,0.0,12000,0
2024-12-25,24655.0,4990.0,0.0,12000,0
2024-12-26,19838.0,4817.0,0.0,12000,0
2024-12-27,16386.0,3452.0,0.0,12000,0
2024-12-28,12405.0,3981.0,0.0,12000,0
2024-12-29,26622.0,3263.0,17480.0,12000,0
2024-12-30,39734.0,4899.0,18011.0,12000,0
2024-12-31,34930.0,4805.0,0.0,12000,0
2025-01-01,40387.0,3534.0,8992.0,12000,0
2025-01-02,36094.0,4294.0,0.0,12000,0
2025-01-03,31867.0,4227.0,0.0,12000,0
2025-01-04,28658.0,3209.0,0.0,12000,0
2025-01-05,24088.0,4569.0,0.0,12000,0
2025-01-06,29102.0,4072.0,9085.0,12000,0
2025-01-07,33419.0,4605.0,8922.0,12000,0
2025-01-08,38318.0,4051.0,8950.0,12000,0
2025-01-09,35449.0,2870.0,0.0,12000,0
2025-01-10,32986.0,3591.0,1128.0,12000,0
2025-01-11,30074.0,2912.0,0.0,12000,0
2025-01-12,43115.0,4941.0,17982.0,12000,0
2025-01-13,38287.0,4829.0,0.0,12000,0
2025-01-14,33563.0,4724.0,0.0,12000,0
2025-01-15,30009.0,3554.0,0.0,12000,0
2025-01-16,27011.0,2997.0,0.0,12000,0
2025-01-17,31118.0,4827.0,8933.0,12000,0
2025-01-18,26137.0,4981.0,0.0,12000,0
2025-01-19,32071.0,3059.0,8993.0,12000,0
2025-01-20,28118.0,3952.0,0.0,12000,0
2025-01-21,41124.0,3023.0,16028.0,12000,0
2025-01-22,45489.0,4565.0,8930.0,12000,0
2025-01-23,40912.0,4577.0,0.0,12000,0
2025-01-24,37757.0,3155.0,0.0,12000,0
2025-01-25,33829.0,3929.0,0.0,12000,0
2025-01-26,29734.0,4095.0,0.0,12000,0
2025-01-27,26275.0,3460.0,0.0,12000,0
2025-01-28,21460.0,4815.0,0.0,12000,0
2025-01-29,25840.0,3812.0,8193.0,12000,0
2025-01-30,31511.0,3341.0,9012.0,12000,0
2025-01-31,27440.0,4071.0,0.0,12000,0
2025-02-01,30963.0,5459.0,8982.0,12000,0
2025-02-02,35867.0,4027.0,8930.0,12000,0
2025-02-03,31541.0,4326.0,0.0,12000,0
2025-02-04,34293.0,6177.0,8928.0,12000,0
2025-02-05,29051.0,5242.0,0.0,12000,0
2025-02-06,24383.0,4668.0,0.0,12000,0
2025-02-07,19499.0,4884.0,0.0,12000,0
2025-02-08,15689.0,3810.0,0.0,12000,0
2025-02-09,11599.0,4090.0,0.0,12000,0
2025-02-10,7201.0,4397.0,0.0,12000,0
2025-02-11,11215.0,5075.0,9088.0,12000,0
2025-02-12,20033.0,4105.0,12923.0,12000,0
2025-02-13,24874.0,4078.0,8919.0,12000,0
2025-02-14,37476.0,3674.0,16276.0,12000,0
2025-02-15,32285.0,5191.0,0.0,12000,0
2025-02-16,28183.0,4102.0,0.0,12000,0
2025-02-17,22249.0,5934.0,0.0,12000,0
2025-02-18,16439.0,5810.0,0.0,12000,0
2025-02-19,13477.0,3674.0,712.0,12000,0
2025-02-20,18402.0,4126.0,9052.0,12000,0
2025-02-21,22042.0,5294.0,8933.0,12000,0
2025-02-22,17979.0,4062.0,0.0,12000,0
2025-02-23,14139.0,3840.0,0.0,12000,0
2025-02-24,17102.0,6015.0,8978.0,12000,0
2025-02-25,28774.0,5028.0,16701.0,12000,0
2025-02-26,24012.0,4762.0,0.0,12000,0
2025-02-27,18405.0,5607.0,0.0,12000,0
2025-02-28,12737.0,5669.0,0.0,12000,0
2025-03-01,17701.0,4030.0,8994.0,12000,0
2025-03-02,22912.0,3775.0,8985.0,12000,0
2025-03-03,27162.0,4687.0,8936.0,12000,0
2025-03-04,31574.0,4666.0,9078.0,12000,0
2025-03-05,34966.0,4785.0,8177.0,12000,0
2025-03-06,29466.0,5500.0,0.0,12000,0
2025-03-07,24118.0,5348.0,0.0,12000,0
2025-03-08,17921.0,6197.0,0.0,12000,0
2025-03-09,14142.0,3779.0,0.0,12000,0
2025-03-10,9533.0,4609.0,0.0,12000,0
2025-03-11,14050.0,4436.0,8953.0,12000,0
2025-03-12,17240.0,5862.0,9052.0,12000,0
2025-03-13,39923.0,4189.0,26871.0,12000,0
2025-03-14,39419.0,4029.0,3525.0,12000,0
2025-03-15,34684.0,4735.0,0.0,12000,0
2025-03-16,30022.0,4662.0,0.0,12000,0
2025-03-17,34670.0,4270.0,8918.0,12000,0
2025-03-18,30478.0,4192.0,0.0,12000,0
2025-03-19,24447.0,6030.0,0.0,12000,0
2025-03-20,19728.0,4720.0,0.0,12000,0
2025-03-21,22909.0,5861.0,9042.0,12000,0
2025-03-22,26876.0,5012.0,8980.0,12000,0
2025-03-23,32263.0,3648.0,9035.0,12000,0
2025-03-24,28999.0,6238.0,2974.0,12000,0
2025-03-25,23207.0,5792.0,0.0,12000,0
2025-03-26,17051.0,6155.0,0.0,12000,0
2025-03-27,20001.0,6039.0,8988.0,12000,0
2025-03-28,14174.0,5827.0,0.0,12000,0
2025-03-29,28293.0,3964.0,18083.0,12000,0
2025-03-30,41451.0,4836.0,17994.0,12000,0
2025-03-31,46363.0,4093.0,9005.0,12000,0
2025-04-01,42142.0,4965.0,744.0,12000,0
2025-04-02,38185.0,3957.0,0.0,12000,0
2025-04-03,33286.0,4900.0,0.0,12000,0
2025-04-04,26601.0,6684.0,0.0,12000,0
2025-04-05,22036.0,4565.0,0.0,12000,0
2025-04-06,15945.0,6092.0,0.0,12000,0
2025-04-07,19797.0,5123.0,8976.0,12000,0
2025-04-08,14768.0,5029.0,0.0,12000,0
2025-04-09,8166.0,6602.0,0.0,12000,0
2025-04-10,37187.0,6714.0,35734.0,12000,0
2025-04-11,31767.0,5420.0,0.0,12000,0
2025-04-12,25868.0,5899.0,0.0,12000,0
2025-04-13,29018.0,4240.0,7390.0,12000,0
2025-04-14,33332.0,4658.0,8972.0,12000,0
2025-04-15,26697.0,6635.0,0.0,12000,0
2025-04-16,21208.0,5489.0,0.0,12000,0
2025-04-17,24752.0,5380.0,8924.0,12000,0
2025-04-18,19995.0,5986.0,1228.0,12000,0
2025-04-19,16042.0,3952.0,0.0,12000,0
2025-04-20,10539.0,5504.0,0.0,12000,0
2025-04-21,14215.0,5264.0,8940.0,12000,0
2025-04-22,7921.0,6294.0,0.0,12000,0
2025-04-23,12754.0,4248.0,9081.0,12000,0
2025-04-24,6142.0,6612.0,0.0,12000,0
2025-04-25,11200.0,4020.0,9078.0,12000,0
2025-04-26,6869.0,4331.0,0.0,12000,0
2025-04-27,28169.0,5536.0,26835.0,12000,0
2025-04-28,35856.0,5772.0,13459.0,12000,0
2025-04-29,31380.0,4476.0,0.0,12000,0
2025-04-30,27242.0,4137.0,0.0,12000,0
2025-05-01,21745.0,5498.0,0.0,12000,0
2025-05-02,17874.0,3871.0,0.0,12000,0
2025-05-03,13123.0,4751.0,0.0,12000,0
2025-05-04,26412.0,4813.0,18102.0,12000,0
2025-05-05,31125.0,4308.0,9021.0,12000,0
2025-05-06,35449.0,4723.0,9048.0,12000,0
2025-05-07,39851.0,4569.0,8971.0,12000,0
2025-05-08,35628.0,5610.0,1388.0,12000,0
2025-05-09,31864.0,3765.0,0.0,12000,0
2025-05-10,26806.0,5058.0,0.0,12000,0
2025-05-11,33079.0,3852.0,10125.0,12000,0
2025-05-12,28830.0,4249.0,0.0,12000,0
2025-05-13,32914.0,4946.0,9029.0,12000,0
2025-05-14,28907.0,4007.0,0.0,12000,0
2025-05-15,33894.0,4047.0,9034.0,12000,0
2025-05-16,46835.0,5148.0,18090.0,12000,0
2025-05-17,43403.0,3432.0,0.0,12000,0
2025-05-18,38997.0,4406.0,0.0,12000,0
2025-05-19,33226.0,5771.0,0.0,12000,0
2025-05-20,27460.0,5765.0,0.0,12000,0
2025-05-21,24027.0,3434.0,0.0,12000,0
