mes,anio,mes_num
2023-09,2023,9
2023-10,2023,10
2023-11,2023,11
2023-12,2023,12
2024-01,2024,1
2024-02,2024,2
2024-03,2024,3
2024-04,2024,4
2024-05,2024,5
2024-06,2024,6
2024-07,2024,7
2024-08,2024,8
2024-09,2024,9
2024-10,2024,10
2024-11,2024,11
2024-12,2024,12
2025-01,2025,1
2025-02,2025,2
2025-03,2025,3
2025-04,2025,4
2025-05,2025,5
2025-06,2025,6
2025-07,2025,7
2025-08,2025,8
2025-09,2025,9
2025-10,2025,10
2025-11,2025,11
2025-12,2025,12
2026-01,2026,1
2026-02,2026,2
2026-03,2026,3
2026-04,2026,4
2026-05,2026,5
2026-06,2026,6
2026-07,2026,7
2026-08,2026,8
