pozo_id,operador,area,ventana,rama_m,etapas,qi_bbl_d,b,Di,costo_musd,spud,completado,primera_prod
VM-001,YPF,El Trapial,Petroleo volatil,2319,43,1182.0,1.24,0.1078,16.5,2024-12,2025-03,2025-04
VM-002,Pan American Energy,Bajada del Palo,Petroleo negro,2546,38,983.0,1.01,0.1473,15.7,2025-12,2026-03,2026-04
VM-003,Tecpetrol,Aguada Federal,Gas y condensado,2121,38,261.0,0.93,0.1212,14.7,2025-11,2026-03,2026-04
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,1779,33,786.0,1.04,0.105,14.8,2025-03,2025-07,2025-08
VM-005,Shell,La Amarga Chica,Petroleo negro,3173,43,1119.0,1.19,0.112,15.8,2024-01,2024-05,2024-06
VM-006,Shell,Bajada del Palo,Petroleo negro,2139,36,755.0,1.23,0.1598,14.2,2024-07,2024-11,2024-12
VM-007,Pluspetrol,Los Toldos,Petroleo volatil,3125,48,920.0,1.25,0.1054,15.4,2023-10,2024-01,2024-02
VM-008,YPF,Loma Campana,Petroleo negro,2358,44,1315.0,1.36,0.1037,15.4,2023-09,2024-01,2024-02
VM-009,Pampa Energia,El Trapial,Petroleo volatil,3197,61,741.0,1.26,0.1436,17.3,2023-09,2023-12,2024-01
VM-010,ExxonMobil,Los Toldos,Petroleo volatil,2855,50,1358.0,1.41,0.1204,16.0,2026-03,2026-05,2026-06
VM-011,Vista Energy,Aguada Federal,Gas y condensado,1879,31,219.0,1.61,0.1445,13.8,2025-08,2025-12,2026-01
VM-012,Pan American Energy,Loma Campana,Petroleo negro,2831,38,956.0,1.1,0.1086,15.4,2026-02,2026-06,2026-07
VM-013,Chevron,Bajada del Palo,Petroleo negro,2478,42,918.0,1.4,0.1086,14.4,2026-01,2026-03,2026-04
VM-014,Vista Energy,El Trapial,Petroleo volatil,3759,57,1056.0,0.74,0.1047,18.5,2025-09,2025-11,2025-12
VM-015,YPF,Loma Campana,Petroleo negro,2143,32,971.0,1.15,0.1211,13.0,2023-10,2024-01,2024-02
VM-016,Vista Energy,Bandurria Sur,Petroleo negro,2780,52,1008.0,1.3,0.1578,17.6,2026-02,2026-05,2026-06
VM-017,Pluspetrol,Los Toldos,Petroleo volatil,3159,58,1024.0,0.92,0.1481,17.9,2023-11,2024-03,2024-04
VM-018,Chevron,Los Toldos,Petroleo volatil,2738,39,857.0,1.08,0.1234,15.5,2025-11,2026-03,2026-04
VM-019,Vista Energy,Rincon La Ceniza,Petroleo volatil,3705,56,1203.0,1.63,0.1174,19.1,2025-04,2025-08,2025-09
VM-020,Shell,Bajada del Palo,Petroleo negro,2898,46,1091.0,0.72,0.1058,15.5,2025-07,2025-10,2025-11
VM-021,Tecpetrol,El Trapial,Petroleo volatil,2940,42,1129.0,1.18,0.1453,15.3,2023-09,2023-12,2024-01
VM-022,Pan American Energy,Bandurria Sur,Petroleo negro,2813,39,1343.0,0.77,0.1336,16.6,2025-12,2026-03,2026-04
VM-023,Shell,Aguada Federal,Gas y condensado,2760,39,339.0,0.89,0.1298,16.8,2025-03,2025-05,2025-06
VM-024,YPF,Loma Campana,Petroleo negro,1744,33,1028.0,1.22,0.1257,14.6,2025-01,2025-05,2025-06
VM-025,YPF,El Trapial,Petroleo volatil,2743,43,812.0,1.14,0.1517,14.6,2025-04,2025-06,2025-07
VM-026,YPF,Aguada Pichana,Gas y condensado,2082,27,189.0,0.83,0.1322,12.7,2026-03,2026-05,2026-06
VM-027,Shell,Loma Campana,Petroleo negro,2350,41,960.0,0.6,0.146,14.8,2024-03,2024-07,2024-08
VM-028,Shell,El Trapial,Petroleo volatil,1765,33,623.0,1.52,0.1305,12.3,2025-01,2025-05,2025-06
VM-029,YPF,La Amarga Chica,Petroleo negro,2845,43,923.0,1.24,0.1271,17.2,2024-04,2024-08,2024-09
VM-030,Pampa Energia,Fortin de Piedra,Gas y condensado,2478,33,249.0,1.35,0.1219,13.6,2024-02,2024-05,2024-06
VM-031,Tecpetrol,Los Toldos,Petroleo volatil,3176,43,1059.0,1.61,0.1541,17.7,2023-11,2024-01,2024-02
VM-032,Total Austral,Bajada del Palo,Petroleo negro,2934,49,1011.0,0.96,0.1432,15.7,2024-05,2024-08,2024-09
VM-033,Pluspetrol,El Trapial,Petroleo volatil,3270,60,1060.0,1.25,0.1562,17.4,2025-01,2025-03,2025-04
VM-034,Vista Energy,Aguada Pichana,Gas y condensado,2949,49,263.0,1.22,0.1235,16.6,2025-02,2025-04,2025-05
VM-035,Tecpetrol,Rincon La Ceniza,Petroleo volatil,2018,28,821.0,1.18,0.1238,13.5,2026-01,2026-04,2026-05
VM-036,YPF,Aguada Federal,Gas y condensado,2233,44,265.0,1.43,0.1262,14.5,2023-11,2024-03,2024-04
VM-037,Pan American Energy,Aguada Pichana,Gas y condensado,1970,31,289.0,0.78,0.1472,12.4,2024-02,2024-05,2024-06
VM-038,YPF,Loma Campana,Petroleo negro,1966,38,801.0,1.51,0.1338,15.4,2025-10,2026-01,2026-02
VM-039,Vista Energy,Bajada del Palo,Petroleo negro,2580,43,1141.0,1.13,0.103,15.6,2024-02,2024-04,2024-05
VM-040,Pan American Energy,Rincon La Ceniza,Petroleo volatil,3299,56,1199.0,0.88,0.1129,18.7,2025-09,2026-01,2026-02
VM-041,Pluspetrol,La Amarga Chica,Petroleo negro,2702,50,818.0,1.42,0.1247,16.6,2026-03,2026-05,2026-06
VM-042,Shell,Los Toldos,Petroleo volatil,2557,49,1083.0,0.94,0.1149,16.5,2025-06,2025-09,2025-10
VM-043,Pluspetrol,Rincon La Ceniza,Petroleo volatil,3175,55,754.0,0.6,0.1013,18.1,2024-09,2024-11,2024-12
VM-044,YPF,La Amarga Chica,Petroleo negro,3384,58,1501.0,1.24,0.1228,16.0,2026-01,2026-05,2026-06
VM-045,Shell,Bajada del Palo,Petroleo negro,2846,49,1089.0,1.21,0.153,15.4,2023-09,2023-11,2023-12
