pozo_id,operador,area,ventana,mes,petroleo_bbl,gas_mm3,agua_bbl,petroleo_bbl_d
VM-001,YPF,El Trapial,Petroleo volatil,2025-04,34813.0,10.517,18377.0,1145.2
VM-001,YPF,El Trapial,Petroleo volatil,2025-05,32651.0,9.864,24359.0,1074.0
VM-001,YPF,El Trapial,Petroleo volatil,2025-06,30105.0,9.095,23928.0,990.3
VM-001,YPF,El Trapial,Petroleo volatil,2025-07,26351.0,7.961,15739.0,866.8
VM-001,YPF,El Trapial,Petroleo volatil,2025-08,25711.0,7.767,13064.0,845.8
VM-001,YPF,El Trapial,Petroleo volatil,2025-09,24206.0,7.313,12838.0,796.2
VM-001,YPF,El Trapial,Petroleo volatil,2025-10,21837.0,6.597,12774.0,718.3
VM-001,YPF,El Trapial,Petroleo volatil,2025-11,19864.0,6.001,9682.0,653.4
VM-001,YPF,El Trapial,Petroleo volatil,2025-12,19857.0,5.999,6512.0,653.2
VM-001,YPF,El Trapial,Petroleo volatil,2026-01,19186.0,5.796,11549.0,631.1
VM-001,YPF,El Trapial,Petroleo volatil,2026-02,17171.0,5.188,6494.0,564.9
VM-001,YPF,El Trapial,Petroleo volatil,2026-03,16265.0,4.914,9081.0,535.0
VM-001,YPF,El Trapial,Petroleo volatil,2026-04,15634.0,4.723,5279.0,514.3
VM-001,YPF,El Trapial,Petroleo volatil,2026-05,15833.0,4.783,7458.0,520.8
VM-001,YPF,El Trapial,Petroleo volatil,2026-06,14345.0,4.334,11022.0,471.9
VM-001,YPF,El Trapial,Petroleo volatil,2026-07,14236.0,4.301,8057.0,468.3
VM-001,YPF,El Trapial,Petroleo volatil,2026-08,13729.0,4.148,7654.0,451.6
VM-002,Pan American Energy,Bajada del Palo,Petroleo negro,2026-04,29267.0,4.188,11448.0,962.7
VM-002,Pan American Energy,Bajada del Palo,Petroleo negro,2026-05,25956.0,3.714,14322.0,853.8
VM-002,Pan American Energy,Bajada del Palo,Petroleo negro,2026-06,23407.0,3.35,14351.0,770.0
VM-002,Pan American Energy,Bajada del Palo,Petroleo negro,2026-07,20065.0,2.871,5116.0,660.0
VM-002,Pan American Energy,Bajada del Palo,Petroleo negro,2026-08,18171.0,2.6,7196.0,597.7
VM-003,Tecpetrol,Aguada Federal,Gas y condensado,2026-04,8054.0,8.964,3613.0,264.9
VM-003,Tecpetrol,Aguada Federal,Gas y condensado,2026-05,6887.0,7.665,1784.0,226.5
VM-003,Tecpetrol,Aguada Federal,Gas y condensado,2026-06,6463.0,7.193,1719.0,212.6
VM-003,Tecpetrol,Aguada Federal,Gas y condensado,2026-07,5815.0,6.472,3564.0,191.3
VM-003,Tecpetrol,Aguada Federal,Gas y condensado,2026-08,5409.0,6.021,1600.0,177.9
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2025-08,23413.0,7.073,17900.0,770.2
VM-004,YPF,Rincon La Ceniza,Petroleo volatil,2025-09,20389.0,6.159,12381.0,670.7
